Artist or Band,Song Title,File Size,Song Length,Video Quality
AURI,Pearl Diving,18.8,376,Low
Beck,Lost Cause,19.8,228,High
Chris Chameleon ,Apie,8.2,184,Low
David Bowie,Space Oddity (Rockabye Baby Lullaby Rendition),3.2,81,Low
Emigrate & Ben Kowalewicz,1234,15.1,202,Low
Foo Fighters,Walk,30.3,358,High
Groep Twee,Haas Das se Nuuskas,4.4,162,Low
Halestorm,Love Bites (So Do I),14.6,198,Low
Idan Raichel Project,She'eriot Shel Ha'chaim,7.0,180,Low
Juanes & Nelly Furtado,Fotografía,26.8,244,High
kobus!,Hoenderman,9.6,264,Low
Lacuna Coil,Naughty Christmas,17.3,198,High
María Elena Walsh,Mono Moto Loco,15.5,184,High
Nightwish,"The Crow, the Owl and the Dove",17.0,227,High
Orquesta de Tango de la Ciudad de Buenos Aires,Libertango,16.6,196,High
Paz Lenchantin,Kentucky Hymn,6.9,175,Low
Queens of the Stone Age,Make It wit Chu,20.3,237,High
Rammstein,Ohne Dich,65.8,341,High
Soda Stereo,Primavera 0,19.3,284,High
Till Lindemann,LUBIMIY GOROD,12.8,166,High
Unheilig,Mein Berg,12.9,280,Low
VNV Nation,Illusion,9.5,245,Low
Within Temptation,Memories,13.6,229,High
Xzibit & Within Temptation,And We Run,16.9,245,High
Yoshiki,Endless Rain,37.2,428,Low
Zager And Evans,In The Year 2525,15.0,218,Low
